10,100,1100,12000,130000
15,132,1210,14500,156000
18,153,1350,15800,172000
25,181,1470,17900,194667
28,208,1595,19800,215667
33,234,1720,21700,236667
38,261,1845,23600,257667
42,287,1970,25500,278667
47,314,2095,27400,299667
51,340,2220,29300,320667
56,367,2345,31200,341667
61,393,2470,33100,362667
65,420,2595,35000,383667
70,446,2720,36900,404667
74,473,2845,38800,425667
79,499,2970,40700,446667
84,526,3095,42600,467667
88,552,3220,44500,488667
93,579,3345,46400,509667
97,605,3470,48300,530667
102,632,3595,50200,551667
107,658,3720,52100,572667
111,685,3845,54000,593667
116,711,3970,55900,614667
120,738,4095,57800,635667
125,764,4220,59700,656667
130,791,4345,61600,677667
134,817,4470,63500,698667
139,844,4595,65400,719667
143,870,4720,67300,740667
148,897,4845,69200,761667
153,923,4970,71100,782667
157,950,5095,73000,803667
162,976,5220,74900,824667
166,1003,5345,76800,845667
171,1029,5470,78700,866667
176,1056,5595,80600,887667
180,1082,5720,82500,908667
185,1109,5845,84400,929667
189,1135,5970,86300,950667
194,1162,6095,88200,971667
199,1188,6220,90100,992667
203,1215,6345,92000,1013667
208,1241,6470,93900,1034667
212,1268,6595,95800,1055667
217,1294,6720,97700,1076667
222,1321,6845,99600,1097667
226,1347,6970,101500,1118667
231,1374,7095,103400,1139667
235,1400,7220,105300,1160667
240,1427,7345,107200,1181667
245,1453,7470,109100,1202667
249,1480,7595,111000,1223667
254,1506,7720,112900,1244667
258,1533,7845,114800,1265667
263,1559,7970,116700,1286667
268,1586,8095,118600,1307667
272,1612,8220,120500,1328667
277,1639,8345,122400,1349667
281,1665,8470,124300,1370667
286,1692,8595,126200,1391667
291,1718,8720,128100,1412667
295,1745,8845,130000,1433667
300,1771,8970,131900,1454667
304,1798,9095,133800,1475667
309,1824,9220,135700,1496667
314,1851,9345,137600,1517667
318,1877,9470,139500,1538667
323,1904,9595,141400,1559667
327,1930,9720,143300,1580667
332,1957,9845,145200,1601667
337,1983,9970,147100,1622667
341,2010,10095,149000,1643667
346,2036,10220,150900,1664667
350,2063,10345,152800,1685667
355,2089,10470,154700,1706667
360,2116,10595,156600,1727667
364,2142,10720,158500,1748667
369,2169,10845,160400,1769667
373,2195,10970,162300,1790667
378,2222,11095,164200,1811667
383,2248,11220,166100,1832667
387,2275,11345,168000,1853667
392,2301,11470,169900,1874667
396,2328,11595,171800,1895667
401,2354,11720,173700,1916667
406,2381,11845,175600,1937667
410,2407,11970,177500,1958667
415,2434,12095,179400,1979667
419,2460,12220,181300,2000667
424,2487,12345,183200,2021667
429,2513,12470,185100,2042667
433,2540,12595,187000,2063667
438,2566,12720,188900,2084667
442,2593,12845,190800,2105667
447,2619,12970,192700,2126667
452,2646,13095,194600,2147667
456,2672,13220,196500,2168667
461,2699,13345,198400,2189667
465,2725,13470,200300,2210667
470,2752,13595,202200,2231667
475,2778,13720,204100,2252667
479,2805,13845,206000,2273667
484,2831,13970,207900,2294667
488,2858,14095,209800,2315667
493,2884,14220,211700,2336667
498,2911,14345,213600,2357667
502,2937,14470,215500,2378667
507,2964,14595,217400,2399667
511,2990,14720,219300,2420667
516,3017,14845,221200,2441667
521,3043,14970,223100,2462667
525,3070,15095,225000,2483667
530,3096,15220,226900,2504667
534,3123,15345,228800,2525667
539,3149,15470,230700,2546667
544,3176,15595,232600,2567667
548,3202,15720,234500,2588667
553,3229,15845,236400,2609667
